epoch,step,train_loss
0,49,0.4958684742450714
0,99,1.1448839902877808
0,149,0.1688113957643509
0,199,1.0059863328933716
0,249,0.4094206988811493
0,299,0.13456042110919952
0,349,0.01810799539089203
0,399,1.909546971321106
0,449,1.4244611263275146
0,499,0.6713041663169861
0,549,0.003638296155259013
0,599,0.030667921528220177
0,649,0.11142229288816452
0,699,0.001734670135192573
0,749,1.042283058166504
0,799,3.0495922565460205
0,849,1.5136514902114868
0,899,3.7487897872924805
0,949,0.03482343629002571
0,999,0.016822755336761475
0,1049,0.9711524248123169
0,1099,0.01719946786761284
0,1149,0.025322530418634415
0,1199,1.1729650497436523
0,1249,0.07298795133829117
0,1299,0.3915460705757141
0,1349,1.4632982015609741
0,1399,0.8076922297477722
0,1449,0.3621812164783478
0,1499,2.4507808685302734
0,1549,0.008715813048183918
0,1599,0.289186030626297
0,1649,0.852725088596344
